=== Wed Aug 19 11:26:10 UTC 2026 v6c: continued from v5_mid4, no-warmup, anneal decay ===
warm-started from v5_mid4.pt
params: 48.12M  device: cuda
dev split: 5000 rows held out, 905692 train
anneal pack: 404982 rows, 8536 batches (used for frac >= 0.8)
ep0 step1680/46784 loss=0.4145 lm=0.2231 name=0.1913 name_acc=0.921 tok/s=64,906
ep0 step1700/46784 loss=0.1974 lm=0.1424 name=0.0550 name_acc=0.963 tok/s=64,924
ep0 step1720/46784 loss=0.6056 lm=0.2863 name=0.3193 name_acc=0.904 tok/s=64,947
ep0 step1740/46784 loss=0.6877 lm=0.3549 name=0.3328 name_acc=0.931 tok/s=64,972
ep0 step1760/46784 loss=0.4673 lm=0.2753 name=0.1920 name_acc=0.966 tok/s=65,000
ep0 step1780/46784 loss=0.5965 lm=0.3408 name=0.2558 name_acc=0.938 tok/s=65,020
ep0 step1800/46784 loss=0.2713 lm=0.1654 name=0.1060 name_acc=0.966 tok/s=65,038
ep0 step1820/46784 loss=0.4779 lm=0.2330 name=0.2448 name_acc=0.898 tok/s=65,049
ep0 step1840/46784 loss=0.2563 lm=0.1523 name=0.1039 name_acc=0.946 tok/s=65,065
ep0 step1860/46784 loss=0.7766 lm=0.4003 name=0.3763 name_acc=0.894 tok/s=65,085
ep0 step1880/46784 loss=0.2810 lm=0.1852 name=0.0958 name_acc=0.970 tok/s=65,101
ep0 step1900/46784 loss=0.8109 lm=0.3360 name=0.4749 name_acc=0.891 tok/s=65,118
ep0 step1920/46784 loss=0.2333 lm=0.2062 name=0.0271 name_acc=0.991 tok/s=65,130
ep0 step1940/46784 loss=0.5219 lm=0.3244 name=0.1975 name_acc=0.945 tok/s=65,148
ep0 step1960/46784 loss=0.3438 lm=0.1907 name=0.1531 name_acc=0.957 tok/s=65,155
ep0 step1980/46784 loss=0.3998 lm=0.2169 name=0.1829 name_acc=0.950 tok/s=65,170
ep0 step2000/46784 loss=1.1191 lm=0.3447 name=0.7744 name_acc=0.768 tok/s=65,184
  dev@2000: 0.4470  <- new best
ep0 step2020/46784 loss=0.5796 lm=0.2480 name=0.3316 name_acc=0.931 tok/s=64,783
ep0 step2040/46784 loss=0.8680 lm=0.3942 name=0.4738 name_acc=0.870 tok/s=64,799
