=== Tue Aug 18 14:01:04 UTC 2026 v5 main ===
params: 48.12M  device: cuda
dev split: 5000 rows held out, 640323 train
ep0 step1680/64704 loss=3.4067 lm=1.6074 name=1.7992 name_acc=0.236 tok/s=66,327
ep0 step1700/64704 loss=1.6927 lm=1.0260 name=0.6668 name_acc=0.689 tok/s=66,338
ep0 step1720/64704 loss=3.5055 lm=1.8469 name=1.6586 name_acc=0.304 tok/s=66,354
ep0 step1740/64704 loss=3.3488 lm=1.8761 name=1.4727 name_acc=0.484 tok/s=66,363
ep0 step1760/64704 loss=1.6685 lm=1.0334 name=0.6351 name_acc=0.744 tok/s=66,374
ep0 step1780/64704 loss=2.2483 lm=1.1918 name=1.0566 name_acc=0.537 tok/s=66,387
ep0 step1800/64704 loss=1.5159 lm=1.1809 name=0.3350 name_acc=0.886 tok/s=66,402
ep0 step1820/64704 loss=2.3377 lm=1.1105 name=1.2272 name_acc=0.557 tok/s=66,409
ep0 step1840/64704 loss=3.0138 lm=1.4789 name=1.5349 name_acc=0.448 tok/s=66,416
ep0 step1860/64704 loss=2.6522 lm=1.4801 name=1.1720 name_acc=0.576 tok/s=66,423
ep0 step1880/64704 loss=2.9570 lm=1.2913 name=1.6657 name_acc=0.431 tok/s=66,436
ep0 step1900/64704 loss=2.9906 lm=1.4494 name=1.5412 name_acc=0.464 tok/s=66,445
ep0 step1920/64704 loss=1.7075 lm=0.9825 name=0.7251 name_acc=0.750 tok/s=66,454
ep0 step1940/64704 loss=2.2916 lm=1.0709 name=1.2207 name_acc=0.574 tok/s=66,460
ep0 step1960/64704 loss=2.9470 lm=1.3863 name=1.5607 name_acc=0.480 tok/s=66,465
ep0 step1980/64704 loss=3.7144 lm=1.7543 name=1.9601 name_acc=0.380 tok/s=66,463
ep0 step2000/64704 loss=2.9133 lm=1.5287 name=1.3846 name_acc=0.441 tok/s=66,470
  dev@2000: 2.2861  <- new best
ep0 step2020/64704 loss=3.3565 lm=1.6767 name=1.6798 name_acc=0.440 tok/s=66,048
ep0 step2040/64704 loss=2.2796 lm=1.2147 name=1.0649 name_acc=0.519 tok/s=66,052
ep0 step2060/64704 loss=2.6507 lm=1.1554 name=1.4953 name_acc=0.458 tok/s=66,067
ep0 step2080/64704 loss=1.8003 lm=0.9934 name=0.8069 name_acc=0.678 tok/s=66,074
ep0 step2100/64704 loss=1.4962 lm=0.9470 name=0.5492 name_acc=0.813 tok/s=66,083
ep0 step2120/64704 loss=2.3461 lm=1.0746 name=1.2716 name_acc=0.481 tok/s=66,094
ep0 step2140/64704 loss=2.9953 lm=1.6170 name=1.3783 name_acc=0.508 tok/s=66,108
ep0 step2160/64704 loss=2.5726 lm=1.2032 name=1.3694 name_acc=0.449 tok/s=66,119
ep0 step2180/64704 loss=2.0261 lm=1.0774 name=0.9487 name_acc=0.581 tok/s=66,127
ep0 step2200/64704 loss=3.4985 lm=1.5879 name=1.9106 name_acc=0.368 tok/s=66,134
ep0 step2220/64704 loss=3.0954 lm=1.2032 name=1.8922 name_acc=0.317 tok/s=66,139
ep0 step2240/64704 loss=2.6044 lm=1.1787 name=1.4258 name_acc=0.492 tok/s=66,148
ep0 step2260/64704 loss=2.0566 lm=1.1036 name=0.9531 name_acc=0.611 tok/s=66,155
ep0 step2280/64704 loss=2.1362 lm=1.1385 name=0.9976 name_acc=0.614 tok/s=66,168
ep0 step2300/64704 loss=2.4469 lm=1.1817 name=1.2652 name_acc=0.559 tok/s=66,181
ep0 step2320/64704 loss=2.4710 lm=1.1660 name=1.3049 name_acc=0.485 tok/s=66,190
ep0 step2340/64704 loss=2.4357 lm=1.1236 name=1.3121 name_acc=0.482 tok/s=66,203
ep0 step2360/64704 loss=2.9980 lm=1.0456 name=1.9524 name_acc=0.320 tok/s=66,215
ep0 step2380/64704 loss=2.1342 lm=0.8996 name=1.2346 name_acc=0.532 tok/s=66,225
ep0 step2400/64704 loss=1.5480 lm=0.6683 name=0.8797 name_acc=0.636 tok/s=66,231
ep0 step2420/64704 loss=1.7892 lm=0.8712 name=0.9180 name_acc=0.694 tok/s=66,235
ep0 step2440/64704 loss=3.4956 lm=1.5473 name=1.9483 name_acc=0.333 tok/s=66,243
ep0 step2460/64704 loss=1.8882 lm=1.0458 name=0.8424 name_acc=0.658 tok/s=66,253
ep0 step2480/64704 loss=2.2582 lm=1.3514 name=0.9068 name_acc=0.682 tok/s=66,260
ep0 step2500/64704 loss=1.5833 lm=0.6988 name=0.8845 name_acc=0.658 tok/s=66,264
ep0 step2520/64704 loss=3.4917 lm=1.8066 name=1.6850 name_acc=0.373 tok/s=66,255
ep0 step2540/64704 loss=1.9372 lm=0.7646 name=1.1726 name_acc=0.560 tok/s=66,258
ep0 step2560/64704 loss=1.8503 lm=0.7733 name=1.0771 name_acc=0.627 tok/s=66,262
ep0 step2580/64704 loss=2.8335 lm=1.3031 name=1.5304 name_acc=0.442 tok/s=66,263
ep0 step2600/64704 loss=2.9132 lm=1.2048 name=1.7084 name_acc=0.328 tok/s=66,264
ep0 step2620/64704 loss=1.9972 lm=0.9774 name=1.0198 name_acc=0.627 tok/s=66,266
ep0 step2640/64704 loss=1.2940 lm=0.7026 name=0.5914 name_acc=0.802 tok/s=66,270
ep0 step2660/64704 loss=1.8333 lm=0.8732 name=0.9601 name_acc=0.564 tok/s=66,276
ep0 step2680/64704 loss=2.4153 lm=1.0118 name=1.4036 name_acc=0.375 tok/s=66,280
ep0 step2700/64704 loss=3.1215 lm=1.3907 name=1.7308 name_acc=0.442 tok/s=66,290
ep0 step2720/64704 loss=1.6502 lm=0.7493 name=0.9008 name_acc=0.695 tok/s=66,294
ep0 step2740/64704 loss=1.6848 lm=0.7533 name=0.9315 name_acc=0.670 tok/s=66,300
ep0 step2760/64704 loss=1.4556 lm=0.7049 name=0.7508 name_acc=0.703 tok/s=66,306
ep0 step2780/64704 loss=1.4609 lm=0.7469 name=0.7140 name_acc=0.725 tok/s=66,313
ep0 step2800/64704 loss=2.0043 lm=0.8472 name=1.1571 name_acc=0.556 tok/s=66,313
ep0 step2820/64704 loss=1.0304 lm=0.6152 name=0.4152 name_acc=0.842 tok/s=66,313
ep0 step2840/64704 loss=1.0104 lm=0.5615 name=0.4489 name_acc=0.812 tok/s=66,315
ep0 step2860/64704 loss=2.3391 lm=0.8577 name=1.4813 name_acc=0.475 tok/s=66,318
ep0 step2880/64704 loss=1.4499 lm=0.7680 name=0.6819 name_acc=0.698 tok/s=66,324
ep0 step2900/64704 loss=2.6819 lm=1.2004 name=1.4816 name_acc=0.472 tok/s=66,324
ep0 step2920/64704 loss=3.4049 lm=1.3957 name=2.0092 name_acc=0.291 tok/s=66,330
ep0 step2940/64704 loss=2.2945 lm=0.9710 name=1.3235 name_acc=0.596 tok/s=66,332
ep0 step2960/64704 loss=1.2296 lm=0.5718 name=0.6578 name_acc=0.782 tok/s=66,336
ep0 step2980/64704 loss=1.5539 lm=0.7364 name=0.8176 name_acc=0.712 tok/s=66,336
ep0 step3000/64704 loss=2.3722 lm=1.1839 name=1.1882 name_acc=0.538 tok/s=66,339
  dev@3000: 1.7126  <- new best
ep0 step3020/64704 loss=1.8494 lm=1.0783 name=0.7711 name_acc=0.696 tok/s=66,054
ep0 step3040/64704 loss=2.6027 lm=0.9290 name=1.6737 name_acc=0.407 tok/s=66,058
ep0 step3060/64704 loss=2.5488 lm=1.1073 name=1.4415 name_acc=0.383 tok/s=66,066
ep0 step3080/64704 loss=1.9560 lm=0.8018 name=1.1543 name_acc=0.544 tok/s=66,073
ep0 step3100/64704 loss=2.1809 lm=0.8331 name=1.3478 name_acc=0.489 tok/s=66,077
ep0 step3120/64704 loss=2.7906 lm=0.8707 name=1.9200 name_acc=0.305 tok/s=66,083
ep0 step3140/64704 loss=1.2051 lm=0.5443 name=0.6608 name_acc=0.699 tok/s=66,084
ep0 step3160/64704 loss=1.8053 lm=0.9108 name=0.8945 name_acc=0.620 tok/s=66,089
ep0 step3180/64704 loss=2.4074 lm=0.7983 name=1.6091 name_acc=0.452 tok/s=66,094
ep0 step3200/64704 loss=0.8845 lm=0.5908 name=0.2937 name_acc=0.892 tok/s=66,098
ep0 step3220/64704 loss=1.7862 lm=0.7551 name=1.0310 name_acc=0.649 tok/s=66,102
ep0 step3240/64704 loss=1.0588 lm=0.6804 name=0.3784 name_acc=0.894 tok/s=66,107
ep0 step3260/64704 loss=2.2653 lm=1.0131 name=1.2522 name_acc=0.603 tok/s=66,107
ep0 step3280/64704 loss=1.7199 lm=0.7425 name=0.9774 name_acc=0.653 tok/s=66,115
ep0 step3300/64704 loss=1.6292 lm=0.6900 name=0.9393 name_acc=0.647 tok/s=66,121
ep0 step3320/64704 loss=2.3052 lm=0.8420 name=1.4632 name_acc=0.528 tok/s=66,126
ep0 step3340/64704 loss=1.2705 lm=0.5705 name=0.7000 name_acc=0.775 tok/s=66,131
ep0 step3360/64704 loss=1.6948 lm=0.6846 name=1.0102 name_acc=0.650 tok/s=66,136
ep0 step3380/64704 loss=1.2779 lm=0.6078 name=0.6701 name_acc=0.753 tok/s=66,144
ep0 step3400/64704 loss=1.1866 lm=0.5122 name=0.6744 name_acc=0.781 tok/s=66,152
ep0 step3420/64704 loss=1.2394 lm=0.5139 name=0.7255 name_acc=0.705 tok/s=66,156
ep0 step3440/64704 loss=1.2490 lm=0.7364 name=0.5126 name_acc=0.820 tok/s=66,159
ep0 step3460/64704 loss=1.1783 lm=0.4290 name=0.7493 name_acc=0.672 tok/s=66,162
ep0 step3480/64704 loss=2.7388 lm=1.0893 name=1.6495 name_acc=0.515 tok/s=66,163
ep0 step3500/64704 loss=1.8793 lm=0.8867 name=0.9926 name_acc=0.645 tok/s=66,161
ep0 step3520/64704 loss=1.5332 lm=0.6010 name=0.9321 name_acc=0.645 tok/s=66,156
ep0 step3540/64704 loss=1.9133 lm=0.8927 name=1.0206 name_acc=0.652 tok/s=66,160
ep0 step3560/64704 loss=1.5524 lm=0.5593 name=0.9931 name_acc=0.673 tok/s=66,165
ep0 step3580/64704 loss=0.8897 lm=0.5849 name=0.3048 name_acc=0.908 tok/s=66,171
ep0 step3600/64704 loss=1.5494 lm=0.7029 name=0.8465 name_acc=0.759 tok/s=66,176
ep0 step3620/64704 loss=1.0524 lm=0.5605 name=0.4919 name_acc=0.825 tok/s=66,177
ep0 step3640/64704 loss=1.7876 lm=0.7216 name=1.0659 name_acc=0.619 tok/s=66,180
ep0 step3660/64704 loss=0.5246 lm=0.3477 name=0.1769 name_acc=0.936 tok/s=66,183
ep0 step3680/64704 loss=2.3536 lm=0.9287 name=1.4248 name_acc=0.479 tok/s=66,191
ep0 step3700/64704 loss=1.2409 lm=0.6227 name=0.6182 name_acc=0.816 tok/s=66,199
ep0 step3720/64704 loss=1.3365 lm=0.6966 name=0.6399 name_acc=0.722 tok/s=66,205
ep0 step3740/64704 loss=1.7319 lm=0.6342 name=1.0977 name_acc=0.617 tok/s=66,213
ep0 step3760/64704 loss=1.4999 lm=0.6739 name=0.8260 name_acc=0.714 tok/s=66,220
ep0 step3780/64704 loss=1.3401 lm=0.5100 name=0.8301 name_acc=0.695 tok/s=66,228
ep0 step3800/64704 loss=2.5601 lm=1.1346 name=1.4256 name_acc=0.529 tok/s=66,236
ep0 step3820/64704 loss=1.3874 lm=0.7364 name=0.6510 name_acc=0.779 tok/s=66,242
ep0 step3840/64704 loss=2.5591 lm=1.2545 name=1.3046 name_acc=0.500 tok/s=66,251
ep0 step3860/64704 loss=2.3593 lm=0.7566 name=1.6028 name_acc=0.426 tok/s=66,257
ep0 step3880/64704 loss=0.5429 lm=0.3742 name=0.1688 name_acc=0.936 tok/s=66,261
ep0 step3900/64704 loss=1.6311 lm=0.5681 name=1.0629 name_acc=0.617 tok/s=66,269
ep0 step3920/64704 loss=1.2460 lm=0.6874 name=0.5585 name_acc=0.818 tok/s=66,274
ep0 step3940/64704 loss=0.4737 lm=0.4587 name=0.0150 name_acc=1.000 tok/s=66,283
ep0 step3960/64704 loss=1.5435 lm=0.6340 name=0.9095 name_acc=0.641 tok/s=66,289
ep0 step3980/64704 loss=1.3766 lm=0.5358 name=0.8407 name_acc=0.685 tok/s=66,299
ep0 step4000/64704 loss=2.4735 lm=0.9916 name=1.4819 name_acc=0.419 tok/s=66,306
  dev@4000: 1.3189  <- new best
